,value
14218,69726
14219,48523
14220,32244
14221,57554
14222,14894
14223,10819
14224,96636
14225,91247
14226,95796
14227,17307
14228,5680
14229,77131
14230,30014
14231,19869
14232,11962
14233,54102
14234,85528
14235,43884
14236,38849
14237,99352
14238,26052
14239,82156
14240,32226
14241,84766
14242,11422
14243,23694
14244,57797
14245,49064
14246,28629
14247,19577
14248,3421
14249,93349
14250,27229
14251,57396
14252,89211
14253,49607
14254,10792
14255,75326
14256,26192
14257,23746
14258,30776
14259,38979
14260,49654
14261,9611
14262,33790
14263,73546
14264,58673
14265,47929
14266,54148
14267,80369
14268,57272
14269,48171
14270,42670
14271,8561
14272,64234
14273,46717
14274,22106
14275,95601
14276,1320
14277,77860
14278,52751
14279,80655
14280,57866
14281,37476
14282,57162
14283,7440
14284,45759
14285,98485
14286,1516
14287,65388
14288,80201
14289,72396
14290,83753
14291,81524
14292,68894
14293,82445
14294,46684
14295,7782
14296,70257
14297,68802
14298,68896
14299,39161
14300,98274
14301,88256
14302,39749
14303,11073
14304,32696
14305,79895
14306,91399
14307,88857
14308,46955
14309,46256
14310,30698
14311,38023
14312,36319
14313,42841
14314,42306
14315,31565
14316,19913
14317,37361
14318,21074
14319,84559
14320,9348
14321,13456
14322,53173
14323,68011
14324,87795
14325,81394
14326,83727
14327,22754
14328,59720
14329,38938
14330,63972
14331,50249
14332,22703
14333,48690
14334,32179
14335,78782
14336,7802
14337,26028
14338,55837
14339,50236
14340,80588
14341,93164
14342,22515
14343,4911
14344,21383
14345,89080
14346,1929
14347,26468
14348,30220
14349,87894
14350,41251
14351,78306
14352,92056
14353,3836
14354,22792
14355,55515
14356,75311
14357,65371
14358,95399
14359,50387
14360,63796
14361,36529
14362,16706
14363,93577
14364,27058
14365,85547
14366,63171
14367,17439
14368,18163
14369,44905
14370,18882
14371,55076
14372,98325
14373,32847
14374,9644
14375,80126
14376,34282
14377,1582
14378,70705
14379,82586
14380,82109
14381,88409
14382,56844
14383,57447
14384,70426
14385,2632
14386,29328
14387,33673
14388,61692
14389,95592
14390,19298
14391,73043
14392,70420
14393,96384
14394,86533
14395,79625
14396,64501
14397,88027
14398,60220
14399,36195
14400,7895
14401,59699
14402,16525
14403,50033
14404,17912
14405,66381
14406,93944
14407,68422
14408,25194
14409,24175
14410,10044
14411,19434
14412,29607
14413,31763
14414,32104
14415,87402
14416,22057
14417,79694
14418,6961
14419,65472
14420,54415
14421,78197
14422,40801
14423,3341
14424,15112
14425,35299
14426,37019
14427,58271
14428,20787
14429,58144
14430,26415
14431,64001
14432,88161
14433,38806
14434,98689
14435,47288
14436,89591
14437,93465
14438,36907
14439,63458
14440,32074
14441,91941
14442,55810
14443,22412
14444,53636
14445,42115
14446,6673
14447,96625
14448,81176
14449,63627
14450,34480
14451,67595
14452,49683
14453,88911
14454,87969
14455,23624
14456,94653
14457,3894
14458,9476
14459,56390
14460,92091
14461,95406
14462,35565
14463,74967
14464,71067
14465,39268
14466,94098
14467,21398
14468,3679
14469,48431
14470,73138
14471,17221
14472,86043
14473,27413
14474,37646
14475,53801
14476,1877
14477,15690
14478,75965
14479,80867
14480,45588
14481,39466
14482,31594
14483,80491
14484,33303
14485,36384
14486,14245
14487,26366
14488,62811
14489,81550
14490,35684
14491,73306
14492,94842
14493,94497
14494,86737
14495,94949
14496,10987
14497,31616
14498,4476
14499,78093
14500,84613
14501,95613
14502,97827
14503,25208
14504,87284
14505,47443
14506,53388
14507,33880
14508,9220
14509,88156
14510,58128
14511,24094
14512,74486
14513,45823
14514,201
14515,96186
14516,14238
14517,80316
14518,34557
14519,22
14520,7757
14521,15206
14522,7139
14523,18721
14524,2347
14525,82683
14526,32302
14527,37446
14528,3856
14529,65552
14530,7607
14531,86579
14532,94316
14533,1582
14534,2886
14535,46715
14536,762
14537,62728
14538,61938
14539,50608
14540,14436
14541,94331
14542,71320
14543,12548
14544,61720
14545,23616
14546,72307
14547,45284
14548,88950
14549,86213
14550,21302
14551,4211
14552,6186
14553,97897
14554,91696
14555,87923
14556,33220
14557,26154
14558,23427
14559,69302
14560,13812
14561,88541
14562,6894
14563,67199
14564,72760
14565,31091
14566,39884
14567,84328
14568,78591
14569,68381
14570,46753
14571,2633
14572,35271
14573,25940
14574,22272
14575,10776
14576,30920
14577,18144
14578,16150
14579,92528
14580,21506
14581,19390
14582,52153
14583,26364
14584,5586
14585,74858
14586,90060
14587,38577
14588,57898
14589,44666
14590,25594
14591,21247
14592,32481
14593,44865
14594,31981
14595,51154
14596,57615
14597,4205
14598,29972
14599,9427
14600,61076
14601,21750
14602,28656
14603,59033
14604,62896
14605,41520
14606,64210
14607,92115
14608,99368
14609,88666
14610,628
14611,27066
14612,51064
14613,67478
14614,97524
14615,81259
14616,1832
14617,86251
14618,11572
14619,41021
14620,37145
14621,26128
14622,36874
14623,12056
14624,49383
14625,97246
14626,46940
14627,63128
14628,58035
14629,84004
14630,30570
14631,51097
14632,89867
14633,25419
14634,26656
14635,51979
14636,38151
14637,26416
14638,11822
14639,90678
14640,72204
14641,62138
14642,40882
14643,67994
14644,17372
14645,59895
14646,75374
14647,47014
14648,88478
14649,87015
14650,3435
14651,15882
14652,36007
14653,26294
14654,31717
14655,19608
14656,11830
14657,35862
14658,37605
14659,42355
14660,21758
14661,50591
14662,30829
14663,67650
14664,46533
14665,16590
14666,71788
14667,26149
14668,92281
14669,27109
14670,8140
14671,86338
14672,24922
14673,51254
14674,46217
14675,93461
14676,36962
14677,55689
14678,749
14679,56763
14680,32513
14681,37140
14682,79170
14683,95669
14684,20996
14685,76186
14686,7489
14687,3634
14688,2758
14689,44652
14690,89599
14691,24642
14692,94272
14693,61055
14694,1573
14695,33105
14696,64086
14697,60120
14698,26375
14699,15037
14700,55577
14701,34976
14702,60345
14703,59026
14704,26186
14705,80799
14706,8474
14707,11808
14708,26243
14709,25273
14710,93821
14711,67097
14712,14115
14713,69552
14714,29847
14715,81649
14716,2371
14717,88439
14718,95345
14719,10723
14720,53915
14721,16242
14722,62679
14723,63129
14724,12233
14725,75555
14726,76966
14727,13371
14728,15985
14729,95595
14730,25518
14731,81623
14732,69648
14733,86981
14734,29260
14735,51260
14736,32589
14737,98961
14738,25493
14739,84226
14740,80449
14741,48676
14742,69927
14743,22087
14744,57784
14745,95194
14746,67683
14747,33142
14748,29808
14749,37903
14750,69898
14751,47800
14752,66861
14753,62605
14754,58413
14755,23255
14756,95406
14757,63721
14758,31964
14759,59409
14760,34584
14761,45047
14762,19142
14763,89258
14764,66073
14765,55936
14766,51685
14767,4873
14768,86836
14769,79600
14770,78453
14771,76776
14772,38808
14773,33073
14774,45972
14775,55706
14776,88505
14777,39622
14778,99268
14779,85116
14780,28326
14781,57763
14782,76387
14783,32062
14784,60314
14785,7415
14786,46946
14787,75706
14788,89133
14789,89329
14790,62215
14791,51700
14792,23917
14793,7903
14794,14081
14795,96008
14796,81044
14797,53817
14798,72206
14799,37483
14800,29993
14801,56229
14802,97765
14803,68770
14804,58434
14805,1092
14806,78007
14807,78151
14808,60940
14809,94373
14810,18940
14811,43097
14812,55940
14813,19274
14814,84921
14815,92474
14816,21323
14817,14591
14818,76761
14819,52253
14820,87099
14821,39368
14822,46638
14823,31303
14824,12970
14825,56404
14826,39188
14827,71681
14828,4550
14829,45931
14830,38544
14831,86698
14832,95397
14833,84492
14834,56036
14835,93778
14836,88115
14837,20914
14838,77203
14839,44795
14840,41572
14841,49886
14842,31349
14843,69395
14844,39662
14845,3464
14846,71557
14847,4787
14848,30396
14849,68409
14850,19275
14851,11188
14852,89689
14853,86196
14854,37079
14855,22373
14856,57661
14857,66144
14858,74261
14859,32217
14860,80584
14861,35013
14862,43707
14863,1988
14864,95798
14865,9526
14866,60613
14867,53586
14868,3746
14869,14889
14870,94897
14871,29556
14872,98208
14873,70314
14874,37459
14875,40142
14876,80977
14877,80659
14878,69757
14879,72456
14880,18030
14881,85050
14882,37940
14883,54295
14884,18209
14885,11243
14886,26370
14887,92140
14888,50638
14889,15827
14890,80847
14891,27030
14892,46371
14893,97328
14894,3031
14895,15447
14896,21840
14897,16835
14898,1760
14899,47509
14900,8974
14901,86052
14902,87308
14903,55710
14904,64276
14905,59976
14906,20165
14907,77313
14908,4281
14909,80337
14910,87194
14911,22022
14912,17732
14913,42899
14914,22346
14915,85620
14916,72037
14917,16011
14918,88641
14919,47002
14920,23959
14921,26896
14922,65432
14923,97967
14924,55132
14925,27486
14926,68594
14927,47539
14928,130
14929,73217
14930,30533
14931,97668
14932,14726
14933,70570
14934,56925
14935,33396
14936,57424
14937,28280
14938,87383
14939,95897
14940,53099
14941,65031
14942,72864
14943,61866
14944,19854
14945,83404
14946,82254
14947,48880
14948,50357
14949,11889
14950,67813
14951,9385
14952,56235
14953,67486
14954,16095
14955,17921
14956,4060
14957,28666
14958,16408
14959,2841
14960,50654
14961,6790
14962,69911
14963,21966
14964,85234
14965,99718
14966,25680
14967,26946
14968,62852
14969,36153
14970,23880
14971,77028
14972,47185
14973,36373
14974,33603
14975,56446
14976,93282
14977,67827
14978,76473
14979,30561
14980,13460
14981,28046
14982,23090
14983,97873
14984,81035
14985,61363
14986,81504
14987,10687
14988,43308
14989,73788
14990,11676
14991,48020
14992,56741
14993,88608
14994,59870
14995,65098
14996,3119
14997,94748
14998,69262
14999,11524
15000,50492
15001,13645
15002,99461
15003,31489
15004,35397
15005,16186
15006,50181
15007,76001
15008,35507
15009,13935
15010,90600
15011,4633
15012,45844
15013,1130
15014,71941
15015,24254
15016,22486
15017,19550
15018,67614
15019,56408
15020,44052
15021,52991
15022,77713
15023,31682
15024,35077
15025,57552
15026,92967
15027,31493
15028,97876
15029,50067
15030,69518
15031,59302
15032,4796
15033,69873
15034,32431
15035,719
15036,74073
15037,52700
15038,78882
15039,20692
15040,55118
15041,28350
15042,54039
15043,95737
15044,62084
15045,97153
15046,55585
15047,99080
15048,31412
15049,65168
15050,66024
15051,22458
15052,54598
15053,65755
15054,55415
15055,53674
15056,69125
15057,26223
15058,52006
15059,46688
15060,19324
15061,46730
15062,56842
15063,23652
15064,63629
15065,6473
15066,36694
15067,45957
15068,59172
15069,59505
15070,70265
15071,49099
15072,23623
15073,64573
15074,57131
15075,2811
15076,40596
15077,86579
15078,55090
15079,53555
15080,38901
15081,68951
15082,89230
15083,71109
15084,11032
15085,16002
15086,46991
15087,88244
15088,40651
15089,84963
15090,97415
15091,71508
15092,65750
15093,75671
15094,12452
15095,30820
15096,86403
15097,65249
15098,73604
15099,66145
15100,82696
15101,87608
15102,44735
15103,48389
15104,45430
15105,47576
15106,56403
15107,32020
15108,98207
15109,12510
15110,39119
15111,72794
15112,44011
15113,10443
15114,7294
15115,25508
15116,38932
15117,80953
15118,17119
15119,34027
15120,12888
15121,25182
15122,98012
15123,89301
15124,58440
15125,55505
15126,57610
15127,19433
15128,21931
15129,96878
15130,19003
15131,10033
15132,20192
15133,14784
15134,68426
15135,54655
15136,71988
15137,25511
15138,81774
15139,52382
15140,27058
15141,43348
15142,29745
15143,78848
15144,20202
15145,61539
15146,80027
15147,37052
15148,97753
15149,74529
15150,16021
15151,746
15152,93145
15153,28024
15154,52520
15155,78923
15156,18036
15157,31316
15158,20149
15159,29155
15160,71361
15161,80715
15162,11549
15163,72150
15164,21859
15165,96927
15166,65236
15167,54317
15168,64070
15169,52239
15170,73427
15171,67141
15172,2703
15173,29437
15174,50033
15175,57198
15176,49184
15177,23709
15178,98599
15179,70524
15180,24094
15181,74306
15182,78577
15183,45828
15184,81185
15185,21587
15186,89171
15187,35338
15188,29498
15189,14914
15190,92299
15191,91429
15192,81748
15193,34237
15194,59528
15195,61321
15196,8641
15197,37021
15198,46355
15199,64178
15200,12337
15201,42621
15202,3517
15203,77990
15204,30659
15205,13029
15206,84932
15207,60219
15208,75474
15209,44818
15210,91887
15211,9393
15212,15826
15213,18667
15214,18788
15215,55837
15216,49520
15217,94566
15218,73571
15219,12208
15220,723
15221,25241
15222,87973
15223,62880
15224,78857
15225,9876
15226,71067
15227,78452
15228,13102
15229,72437
15230,15861
15231,19780
15232,34619
15233,92724
15234,44096
15235,25339
15236,73943
15237,71768
15238,9501
15239,53062
15240,26914
15241,39484
15242,59645
15243,15291
15244,80862
15245,16571
15246,36212
15247,96566
15248,34709
15249,44830
15250,94975
15251,59114
15252,81056
15253,36691
15254,78793
15255,96352
15256,15668
15257,44340
15258,20322
15259,93806
15260,6230
15261,35654
15262,76328
15263,73162
15264,18127
15265,61992
15266,37446
15267,28047
15268,43352
15269,26610
15270,28267
15271,94999
15272,98796
15273,59021
15274,71270
15275,96027
15276,69928
15277,36463
15278,31250
15279,98902
15280,29426
15281,27834
15282,78619
15283,98407
15284,47372
15285,51439
15286,36637
15287,72860
15288,35308
15289,91424
15290,1351
15291,61894
15292,9991
15293,46907
15294,11020
15295,88160
15296,41522
15297,88667
15298,36657
15299,90460
15300,72894
15301,13731
15302,64483
15303,27769
15304,80589
15305,19357
15306,18031
15307,41755
15308,46208
15309,74045
15310,99953
15311,13246
15312,14901
15313,78535
15314,74524
15315,89784
15316,30200
15317,98478
15318,68514
15319,51528
15320,32595
15321,87729
15322,916
15323,44518
15324,96742
15325,28451
15326,3591
15327,4025
15328,39593
15329,25843
15330,90436
15331,65170
15332,81232
15333,3042
15334,42527
15335,35842
15336,6690
15337,2640
15338,83036
15339,41882
15340,57985
15341,90454
15342,75656
15343,85854
15344,23945
15345,59282
15346,94491
15347,75506
15348,53579
15349,91679
15350,51999
15351,81286
15352,8827
15353,30818
15354,69902
15355,34023
15356,58880
15357,21214
15358,38412
15359,72241
15360,87081
15361,27570
15362,87529
15363,61420
15364,35326
15365,46536
15366,58567
15367,76030
15368,51908
15369,95865
15370,61374
15371,42576
15372,13584
15373,50190
15374,66772
15375,98621
15376,68926
15377,94522
15378,48335
15379,26529
15380,26868
15381,8513
15382,90713
15383,80998
15384,21378
15385,29232
15386,73167
15387,24098
15388,23661
15389,61601
15390,59714
15391,55029
15392,88862
15393,17365
15394,18317
15395,16662
15396,54100
15397,57025
15398,12166
15399,58483
15400,75727
15401,24945
15402,97619
15403,17058
15404,46589
15405,92751
15406,69999
15407,31656
15408,68423
15409,94390
15410,1545
15411,77487
15412,58698
15413,84539
15414,23709
15415,59281
15416,11838
15417,77092
15418,21889
15419,66512
15420,92858
15421,42956
15422,65780
15423,68979
15424,74290
15425,90083
15426,16226
15427,39672
15428,55009
15429,1198
15430,57276
15431,68477
15432,76177
15433,59322
15434,60769
15435,62269
15436,3951
15437,90320
15438,4253
15439,9728
15440,77358
15441,34397
15442,94997
15443,59973
15444,32225
15445,37059
15446,44583
15447,75918
15448,27772
15449,18551
15450,62380
15451,3138
15452,90899
15453,84892
15454,23021
15455,30228
15456,34528
15457,1141
15458,1467
15459,49651
15460,60210
15461,28064
15462,42592
15463,10380
15464,49918
15465,43685
15466,13808
15467,49906
15468,40298
15469,93569
15470,26222
15471,80442
15472,76609
15473,41754
15474,8677
15475,88807
15476,44809
15477,30804
15478,88613
15479,27637
15480,6814
15481,12164
15482,10133
15483,75685
15484,35962
15485,8311
15486,72031
15487,80204
15488,77484
15489,83055
15490,73028
15491,21191
15492,44326
15493,40240
15494,11299
15495,37487
15496,1538
15497,63020
15498,65816
15499,82087
15500,83538
15501,3366
15502,15379
15503,14288
15504,50315
15505,11381
15506,20741
15507,63199
15508,33803
15509,9102
15510,68263
15511,33809
15512,68881
15513,26831
15514,57565
15515,22507
15516,80426
15517,69985
15518,11518
15519,89224
15520,19188
15521,10609
15522,80044
15523,75423
15524,2101
15525,8500
15526,14815
15527,73381
15528,48373
15529,66160
15530,46256
15531,56969
15532,95281
15533,8033
15534,32701
15535,45783
15536,85500
15537,54866
15538,27425
15539,56673
15540,37851
15541,44393
15542,44239
15543,17937
15544,70566
15545,61048
15546,44379
15547,20169
15548,25292
15549,9498
15550,67190
15551,79610
15552,70610
15553,90141
15554,24555
15555,64354
15556,93211
15557,85662
15558,46342
15559,51267
15560,62889
15561,10387
15562,61949
15563,63012
15564,96149
15565,27287
15566,66631
15567,65065
15568,90487
15569,34597
15570,7975
15571,35442
15572,89243
15573,597
15574,63889
15575,34848
15576,11769
15577,30032
15578,36155
15579,61272
15580,11713
15581,13092
15582,37706
15583,24180
15584,97955
15585,78646
15586,44104
15587,39380
15588,2096
15589,54889
15590,70107
15591,57187
15592,95620
15593,72286
15594,32952
15595,27122
15596,22554
15597,35698
15598,62174
15599,85638
15600,1042
15601,65611
15602,61554
15603,85589
15604,49938
15605,68727
15606,87149
15607,89145
15608,89389
15609,8911
15610,85481
15611,95145
15612,96170
15613,4693
15614,78150
15615,73941
15616,23124
15617,16059
15618,49784
15619,7922
15620,5136
15621,32439
15622,825
15623,72038
15624,78800
15625,70659
15626,74628
15627,47376
15628,48627
15629,55444
15630,6369
15631,30104
15632,94568
15633,5915
15634,54755
15635,20243
15636,74466
15637,10415
15638,56331
15639,85218
15640,78553
15641,91625
15642,13220
15643,66315
15644,19574
15645,7226
15646,19391
15647,18599
15648,86386
15649,68326
15650,51935
15651,26309
15652,42187
15653,42681
15654,73964
15655,8449
15656,1858
15657,65057
15658,85175
15659,96088
15660,25768
15661,61905
15662,70899
15663,23735
15664,28231
15665,3119
15666,62563
15667,71489
15668,95559
15669,17118
15670,48234
15671,27492
15672,82605
15673,59497
15674,78870
15675,96410
15676,35835
15677,71340
15678,36491
15679,58600
15680,60415
15681,50619
15682,54639
15683,94459
15684,73809
15685,83928
15686,14501
15687,60846
15688,72233
15689,16422
15690,75470
15691,63730
15692,37939
15693,93071
15694,93913
15695,66049
15696,89201
15697,30118
15698,75176
15699,92613
15700,51273
15701,95213
15702,52654
15703,49187
15704,45350
15705,96669
15706,25056
15707,31404
15708,54036
15709,85573
15710,55249
15711,11751
15712,6663
15713,26410
15714,30386
15715,96407
15716,82215
15717,78961
15718,35496
15719,9927
15720,60567
15721,55512
15722,34568
15723,73481
15724,18966
15725,74901
15726,8922
15727,13337
15728,1896
15729,45338
15730,56956
15731,48855
15732,4353
15733,44651
15734,90048
15735,78573
15736,99280
15737,88016
15738,90968
15739,88223
15740,59641
15741,86370
15742,7082
15743,2157
15744,60059
15745,75522
15746,24422
15747,85975
15748,88492
15749,49575
15750,53233
15751,71157
15752,40104
15753,66321
15754,98763
15755,58263
15756,49418
15757,2517
15758,43220
15759,29126
15760,49112
15761,52145
15762,10436
15763,46696
15764,27047
15765,99793
15766,31553
15767,94026
15768,96512
15769,70767
15770,5506
15771,67562
15772,1792
15773,31964
15774,59636
15775,37306
15776,15728
15777,67559
15778,96214
15779,25406
15780,43326
15781,81528
15782,5883
15783,41121
15784,17487
15785,80615
15786,36064
15787,75984
15788,93855
15789,23613
15790,53766
15791,16529
15792,39965
15793,84220
15794,26528
15795,32018
15796,68512
15797,24360
15798,45004
15799,81175
15800,62310
15801,3397
15802,74677
15803,24716
15804,86228
15805,38146
15806,35357
15807,50745
15808,839
15809,5061
15810,37694
15811,68399
15812,44651
15813,2944
15814,51185
15815,94406
15816,87522
15817,75514
15818,69064
15819,55720
15820,97713
15821,506
15822,54429
15823,80442
15824,69738
15825,27357
15826,59061
15827,61338
15828,50303
15829,76440
15830,17335
15831,60668
15832,31851
15833,25545
15834,95361
15835,98639
15836,74377
15837,99715
15838,60621
15839,66226
15840,37510
15841,67896
15842,3440
15843,23393
15844,68972
15845,37780
15846,71866
15847,21604
15848,73482
15849,33769
15850,20599
15851,21422
15852,92521
15853,47663
15854,11820
15855,30101
15856,22261
15857,57126
15858,85708
15859,49601
15860,55629
15861,62481
15862,63243
15863,56286
15864,27992
15865,47202
15866,37909
15867,61613
15868,77437
15869,9310
15870,85324
15871,41062
15872,95290
15873,86829
15874,96118
15875,65335
15876,96940
15877,98679
15878,87137
15879,467
15880,22687
15881,59854
15882,2735
15883,49194
15884,69419
15885,5122
15886,14312
15887,98282
15888,36638
15889,4692
15890,10384
15891,41937
15892,2685
15893,98948
15894,24416
15895,20267
15896,82934
15897,57644
15898,94872
15899,22467
15900,16879
15901,30220
15902,10210
15903,38103
15904,51330
15905,3631
15906,15230
15907,21846
15908,18331
15909,70115
15910,81727
15911,26707
15912,15727
15913,35292
15914,48341
15915,63834
15916,3140
15917,64105
15918,20538
15919,65075
15920,12986
15921,69286
15922,84330
15923,33282
15924,6804
15925,6218
15926,79128
15927,6845
15928,36826
15929,32564
15930,97088
15931,88059
15932,84288
15933,49171
15934,72257
15935,24620
15936,75728
15937,67662
15938,14253
15939,96771
15940,31159
15941,47825
15942,66080
15943,5168
15944,66466
15945,77703
15946,2694
15947,45347
15948,77149
15949,4893
15950,10389
15951,43351
15952,24862
15953,69301
15954,13609
15955,36960
15956,47759
15957,51116
15958,15406
15959,60428
15960,82689
15961,88892
15962,63632
15963,86663
15964,1777
15965,97673
15966,93910
15967,50290
15968,55544
15969,69184
15970,43370
15971,18599
15972,90942
15973,25036
15974,66184
15975,26696
15976,14325
15977,8404
15978,91785
15979,64321
15980,12285
15981,19236
15982,20322
15983,68308
15984,98336
15985,69775
15986,37957
15987,39155
15988,92589
15989,608
15990,398
15991,48981
15992,22148
15993,68423
15994,52814
15995,80238
15996,38474
15997,97490
15998,99313
15999,24055
16000,21293
16001,93219
16002,8872
16003,64871
16004,43489
16005,58381
16006,19773
16007,27541
16008,87636
16009,18234
16010,78919
16011,14714
16012,23124
16013,1597
16014,81163
16015,28255
16016,7122
16017,1879
16018,19458
16019,64441
16020,58315
16021,25039
16022,33108
16023,11271
16024,53092
16025,92468
16026,43464
16027,80876
16028,23914
16029,10936
16030,5343
16031,6082
16032,40009
16033,57382
16034,21219
16035,80965
16036,85111
16037,63445
16038,44949
16039,63352
16040,1805
16041,59539
16042,96728
16043,87831
16044,24357
16045,34247
16046,59754
16047,52568
16048,35591
16049,47100
16050,6777
16051,34618
16052,39028
16053,76219
16054,81234
16055,23991
16056,90430
16057,78779
16058,66299
16059,6409
16060,40137
16061,53719
16062,20316
16063,77077
16064,68683
16065,46345
16066,53396
16067,93661
16068,1095
16069,71054
16070,24106
16071,6161
16072,38146
16073,45472
16074,28265
16075,75681
16076,22141
16077,14885
16078,58691
16079,43052
16080,29126
16081,51361
16082,6799
16083,59369
16084,72003
16085,19309
16086,23037
16087,51669
16088,20116
16089,24206
16090,67179
16091,72459
16092,39764
16093,99929
16094,74687
16095,56210
16096,56938
16097,65665
16098,71613
16099,88459
16100,1088
16101,41747
16102,40079
16103,9355
16104,95782
16105,66708
16106,64106
16107,45384
16108,87179
16109,68109
16110,28831
16111,69341
16112,80347
16113,44503
16114,57121
16115,59656
16116,50640
16117,95521
16118,92095
16119,10126
16120,47326
16121,3783
16122,49204
16123,95034
16124,21547
16125,74874
16126,70803
16127,83776
16128,56656
16129,17127
16130,13174
16131,33019
16132,24409
16133,17844
16134,25790
16135,75855
16136,82824
16137,4006
16138,88092
16139,42661
16140,49591
16141,31955
16142,93754
16143,69956
16144,79987
16145,3937
16146,27082
16147,73956
16148,89921
16149,6464
16150,14028
16151,20590
16152,18191
16153,71996
16154,46853
16155,25026
16156,35179
16157,4253
16158,62407
16159,77870
16160,71886
16161,99431
16162,14005
16163,17316
16164,78430
16165,84537
16166,78532
16167,19963
16168,92895
16169,15427
16170,72511
16171,4657
16172,23001
16173,45600
16174,93189
16175,80154
16176,22541
16177,57577
16178,15434
16179,28506
16180,95247
16181,62864
16182,37534
16183,40538
16184,60018
16185,15899
16186,58170
16187,69504
16188,2620
16189,46038
16190,39468
16191,12609
16192,43011
16193,84565
16194,88554
16195,93920
16196,18167
16197,31832
16198,4740
16199,33202
16200,28535
16201,24389
16202,34927
16203,64760
16204,68721
16205,71235
16206,68993
16207,43163
16208,84918
16209,9886
16210,94608
16211,99622
16212,93013
16213,46375
16214,19523
16215,22517
16216,97718
16217,10778
16218,60052
16219,24950
16220,49404
16221,57706
16222,69063
16223,66478
16224,62470
16225,27339
16226,53079
16227,97843
16228,81742
16229,7069
16230,15695
16231,35896
16232,36694
16233,94797
16234,22991
16235,97291
16236,35111
16237,83696
16238,37209
16239,93683
16240,12964
16241,10089
16242,52640
16243,3415
16244,84217
16245,84087
16246,78186
16247,73825
16248,38653
16249,53456
16250,24408
16251,7741
16252,50153
16253,27325
16254,4255
16255,80501
16256,87912
16257,93653
16258,26743
16259,49057
16260,78692
16261,86285
16262,64548
16263,5109
16264,26865
16265,42468
16266,16278
16267,62684
16268,18810
16269,48719
16270,64221
16271,89807
16272,40948
16273,11504
16274,98200
16275,94352
16276,81500
16277,14696
16278,37462
16279,42967
16280,6078
16281,53815
16282,96956
16283,20815
16284,88642
16285,47815
16286,78974
16287,89071
16288,1898
16289,19305
16290,62665
16291,62068
16292,51496
16293,70635
16294,92817
16295,36535
16296,38867
16297,8798
16298,69648
16299,15906
16300,11641
16301,19448
16302,67356
16303,4338
16304,18526
16305,92937
16306,41680
16307,37498
16308,40908
16309,5036
16310,82131
16311,20096
16312,66696
16313,28542
16314,17129
16315,29153
16316,49363
16317,18204
16318,16377
16319,35146
16320,3742
16321,51441
16322,91566
16323,71379
16324,59057
16325,75160
16326,56645
16327,57022
16328,89819
16329,22074
16330,35255
16331,59647
16332,77157
16333,11655
16334,76722
16335,24369
16336,8150
16337,75896
16338,11659
16339,16775
16340,53071
16341,54556
16342,77721
16343,17090
16344,8556
16345,2196
16346,17586
16347,51363
16348,44866
16349,16291
16350,95931
16351,18405
16352,56955
16353,82075
16354,3970
16355,9654
16356,6930
16357,89732
16358,61470
16359,91761
16360,18800
16361,28464
16362,43284
16363,32983
16364,92457
16365,94162
16366,89914
16367,27245
16368,59686
16369,5224
16370,98521
16371,89605
16372,97127
16373,65136
16374,23617
16375,64589
16376,78952
16377,92502
16378,82382
16379,71199
16380,4941
16381,86363
16382,9575
16383,5681
16384,26919
16385,79226
16386,63606
16387,91055
16388,23965
16389,39749
16390,22253
16391,19290
16392,65744
16393,15505
16394,18737
16395,55318
16396,91240
16397,31070
16398,91747
16399,53944
16400,49782
16401,28971
16402,28500
16403,66351
16404,8384
16405,28543
16406,86812
16407,56726
16408,17293
16409,23729
16410,20673
16411,7665
16412,61836
16413,49649
16414,31677
16415,80701
16416,5071
16417,60632
16418,12713
16419,84054
16420,16142
16421,4530
16422,33956
16423,46026
16424,31458
16425,409
16426,59432
16427,39049
16428,44561
16429,65025
16430,29305
16431,98878
16432,3681
16433,5805
16434,77562
16435,32619
16436,90441
16437,4575
16438,14420
16439,3390
16440,95889
16441,29198
16442,9783
16443,51582
16444,87720
16445,2593
16446,35048
16447,9992
16448,91489
16449,75484
16450,79588
16451,45548
16452,58352
16453,20959
16454,62479
16455,30380
16456,84145
16457,10835
16458,90504
16459,56308
16460,32793
16461,60285
16462,99726
16463,85081
16464,24028
16465,15937
16466,83866
16467,27517
16468,79840
16469,48969
16470,62347
16471,69232
16472,41293
16473,51267
16474,41951
16475,42193
16476,48124
16477,8672
16478,81443
16479,2832
16480,64009
16481,71893
16482,45893
16483,49120
16484,3439
16485,54870
16486,54207
16487,23697
16488,39515
16489,55304
16490,22519
16491,36193
16492,87762
16493,41561
16494,8501
16495,3931
16496,73098
16497,42793
16498,29361
16499,30022
16500,30484
16501,21971
16502,51132
16503,33819
16504,89694
16505,95441
16506,27325
16507,57066
16508,57779
16509,84777
16510,23659
16511,83386
16512,65194
16513,71183
16514,66179
16515,80580
16516,14246
16517,63553
16518,97172
16519,50864
16520,70800
16521,64451
16522,4457
16523,53138
16524,92834
16525,51465
16526,16468
16527,95808
16528,97979
16529,48217
16530,87043
16531,2977
16532,19265
16533,48439
16534,93634
16535,90776
16536,60766
16537,63029
16538,65637
16539,30271
16540,20256
16541,37434
16542,24473
16543,2623
16544,87646
16545,57836
16546,1591
16547,86769
16548,17082
16549,68900
16550,17226
16551,59310
16552,6438
